missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0.1,linear_interpolation,3.447303,4.153798,0.343651,101,101
0.1,time_interpolation,3.447303,4.153798,0.343651,101,101
0.1,adaptive_imputation,3.447303,4.153798,0.343651,101,101
0.1,cubic_interpolation,4.970873,5.925287,-0.335559,101,101
0.1,spline_interpolation,5.239066,6.233238,-0.477991,101,101
0.1,decision_tree,5.862475,6.653168,-0.683842,101,101
0.1,knn,5.918624,6.859748,-0.790032,101,101
0.1,forward_fill,8.460594,9.752546,-2.618099,101,101
0.1,random_forest,8.760546,10.070879,-2.85815,101,101
0.2,cubic_interpolation,4.182814,4.583841,0.225768,202,202
0.2,adaptive_imputation,4.182814,4.583841,0.225768,202,202
0.2,random_forest,4.883371,5.631388,-0.168538,202,202
0.2,decision_tree,4.926842,5.642518,-0.173161,202,202
0.2,knn,5.285389,6.160744,-0.39855,202,202
0.2,forward_fill,5.512376,6.367847,-0.49416,202,202
0.2,linear_interpolation,5.531835,6.687507,-0.647936,202,202
0.2,time_interpolation,5.531835,6.687507,-0.647936,202,202
0.2,spline_interpolation,8.396873,8.956083,-1.955616,202,202
0.3,spline_interpolation,4.848613,5.972604,-0.774185,302,302
0.3,adaptive_imputation,4.848613,5.972604,-0.774185,302,302
0.3,cubic_interpolation,5.002943,6.19287,-0.90746,302,302
0.3,linear_interpolation,5.404309,6.580167,-1.153503,302,302
0.3,time_interpolation,5.404309,6.580167,-1.153503,302,302
0.3,forward_fill,5.479139,6.697888,-1.231245,302,302
0.3,decision_tree,5.531104,6.752541,-1.267807,302,302
0.3,random_forest,5.975578,7.215229,-1.589236,302,302
0.3,knn,11.499373,12.889945,-7.263682,302,302
0.4,linear_interpolation,6.82606,8.321512,-0.850377,403,403
0.4,time_interpolation,6.82606,8.321512,-0.850377,403,403
0.4,adaptive_imputation,6.82606,8.321512,-0.850377,403,403
0.4,decision_tree,8.485724,10.064721,-1.706819,403,403
0.4,cubic_interpolation,9.595639,11.194437,-2.348577,403,403
0.4,spline_interpolation,10.364427,12.129229,-2.931173,403,403
0.4,forward_fill,11.010099,12.594382,-3.238474,403,403
0.4,knn,11.445975,12.931778,-3.468608,403,403
0.4,random_forest,11.449353,12.962551,-3.4899,403,403
0.5,linear_interpolation,5.237522,7.03889,0.024571,504,504
0.5,time_interpolation,5.237522,7.03889,0.024571,504,504
0.5,adaptive_imputation,5.237522,7.03889,0.024571,504,504
0.5,cubic_interpolation,6.302744,8.267525,-0.345669,504,504
0.5,spline_interpolation,6.461452,8.459041,-0.408736,504,504
0.5,decision_tree,8.477105,10.708255,-1.257484,504,504
0.5,knn,8.566947,10.882721,-1.331644,504,504
0.5,random_forest,8.947712,11.309076,-1.517917,504,504
0.5,forward_fill,9.348333,11.734883,-1.711095,504,504
0.6,linear_interpolation,4.965033,6.069316,0.300689,605,605
0.6,time_interpolation,4.965033,6.069316,0.300689,605,605
0.6,adaptive_imputation,4.965033,6.069316,0.300689,605,605
0.6,decision_tree,6.739952,7.927446,-0.193047,605,605
0.6,forward_fill,6.869041,8.975486,-0.52935,605,605
0.6,knn,6.873324,8.074598,-0.23775,605,605
0.6,random_forest,6.957,8.053239,-0.23121,605,605
0.6,cubic_interpolation,8.116641,9.554362,-0.732984,605,605
0.6,spline_interpolation,10.606982,12.540963,-1.985746,605,605
0.7,linear_interpolation,5.225256,6.053986,0.225553,706,706
0.7,time_interpolation,5.225256,6.053986,0.225553,706,706
0.7,adaptive_imputation,5.225256,6.053986,0.225553,706,706
0.7,decision_tree,5.869514,6.926709,-0.013824,706,706
0.7,forward_fill,5.899448,7.23035,-0.104657,706,706
0.7,random_forest,5.98961,7.537597,-0.200534,706,706
0.7,knn,6.298193,8.213106,-0.425357,706,706
0.7,cubic_interpolation,10.948616,13.399176,-2.793718,706,706
0.7,spline_interpolation,13.575001,16.392662,-4.678162,706,706
0.8,cubic_interpolation,4.047223,5.75235,0.253521,806,806
0.8,adaptive_imputation,4.047223,5.75235,0.253521,806,806
0.8,linear_interpolation,4.482815,5.489751,0.32012,806,806
0.8,time_interpolation,4.482815,5.489751,0.32012,806,806
0.8,spline_interpolation,4.49204,6.491361,0.049399,806,806
0.8,decision_tree,5.506266,6.88962,-0.070822,806,806
0.8,knn,5.521789,7.259395,-0.188851,806,806
0.8,random_forest,5.539774,7.589705,-0.299501,806,806
0.8,forward_fill,5.591824,7.809532,-0.375868,806,806
